date,sku_id,category,units_sold,price,promotion_flag,inventory_level,day_of_week,month,week_of_year,lag_1,lag_7,rolling_mean_7,stockout_flag
2023-01-08,SKU_1,Category_2,30,1694.8144802903494,0,69,6,1,1,25.0,36.0,28.428571428571427,0
2023-01-09,SKU_1,Category_2,33,1694.8144802903494,0,60,0,1,2,30.0,32.0,27.571428571428573,0
2023-01-10,SKU_1,Category_2,24,1694.8144802903494,0,73,1,1,2,33.0,31.0,27.714285714285715,0
2023-01-11,SKU_1,Category_2,28,1694.8144802903494,0,82,2,1,2,24.0,29.0,26.714285714285715,0
2023-01-12,SKU_1,Category_2,13,1694.8144802903494,0,13,3,1,2,28.0,23.0,26.571428571428573,1
2023-01-13,SKU_1,Category_2,28,1694.8144802903494,1,99,4,1,2,13.0,23.0,25.142857142857142,0
2023-01-14,SKU_1,Category_2,39,1694.8144802903494,0,93,5,1,2,28.0,25.0,25.857142857142858,0
2023-01-15,SKU_1,Category_2,17,1694.8144802903494,0,17,6,1,2,39.0,30.0,27.857142857142858,1
2023-01-16,SKU_1,Category_2,33,1694.8144802903494,0,87,0,1,3,17.0,33.0,26.0,0
2023-01-17,SKU_1,Category_2,15,1694.8144802903494,0,15,1,1,3,33.0,24.0,26.0,1
2023-01-18,SKU_1,Category_2,13,1694.8144802903494,0,13,2,1,3,15.0,28.0,24.714285714285715,1
2023-01-19,SKU_1,Category_2,29,1694.8144802903494,0,81,3,1,3,13.0,13.0,22.571428571428573,0
2023-01-20,SKU_1,Category_2,26,1694.8144802903494,0,71,4,1,3,29.0,28.0,24.857142857142858,0
2023-01-21,SKU_1,Category_2,26,1694.8144802903494,0,62,5,1,3,26.0,39.0,24.571428571428573,0
2023-01-22,SKU_1,Category_2,30,1694.8144802903494,0,98,6,1,3,26.0,17.0,22.714285714285715,0
2023-01-23,SKU_1,Category_2,20,1694.8144802903494,0,24,0,1,4,30.0,33.0,24.571428571428573,0
2023-01-24,SKU_1,Category_2,26,1694.8144802903494,0,98,1,1,4,20.0,15.0,22.714285714285715,0
2023-01-25,SKU_1,Category_2,35,1694.8144802903494,1,97,2,1,4,26.0,13.0,24.285714285714285,0
2023-01-26,SKU_1,Category_2,29,1694.8144802903494,0,90,3,1,4,35.0,29.0,27.428571428571427,0
2023-01-27,SKU_1,Category_2,28,1694.8144802903494,0,50,4,1,4,29.0,26.0,27.428571428571427,0
