date,sku_id,category,units_sold,price,promotion_flag,inventory_level
2023-01-01,SKU_1,Category_2,36,1694.8144802903494,0,92
2023-01-02,SKU_1,Category_2,32,1694.8144802903494,0,84
2023-01-03,SKU_1,Category_2,31,1694.8144802903494,0,31
2023-01-04,SKU_1,Category_2,29,1694.8144802903494,0,97
2023-01-05,SKU_1,Category_2,23,1694.8144802903494,0,30
2023-01-06,SKU_1,Category_2,23,1694.8144802903494,0,67
2023-01-07,SKU_1,Category_2,25,1694.8144802903494,0,68
2023-01-08,SKU_1,Category_2,30,1694.8144802903494,0,69
2023-01-09,SKU_1,Category_2,33,1694.8144802903494,0,60
2023-01-10,SKU_1,Category_2,24,1694.8144802903494,0,73
2023-01-11,SKU_1,Category_2,28,1694.8144802903494,0,82
2023-01-12,SKU_1,Category_2,13,1694.8144802903494,0,13
2023-01-13,SKU_1,Category_2,28,1694.8144802903494,1,99
2023-01-14,SKU_1,Category_2,39,1694.8144802903494,0,93
2023-01-15,SKU_1,Category_2,17,1694.8144802903494,0,17
2023-01-16,SKU_1,Category_2,33,1694.8144802903494,0,87
2023-01-17,SKU_1,Category_2,15,1694.8144802903494,0,15
2023-01-18,SKU_1,Category_2,13,1694.8144802903494,0,13
2023-01-19,SKU_1,Category_2,29,1694.8144802903494,0,81
2023-01-20,SKU_1,Category_2,26,1694.8144802903494,0,71
2023-01-21,SKU_1,Category_2,26,1694.8144802903494,0,62
2023-01-22,SKU_1,Category_2,30,1694.8144802903494,0,98
2023-01-23,SKU_1,Category_2,20,1694.8144802903494,0,24
2023-01-24,SKU_1,Category_2,26,1694.8144802903494,0,98
2023-01-25,SKU_1,Category_2,35,1694.8144802903494,1,97
2023-01-26,SKU_1,Category_2,29,1694.8144802903494,0,90
2023-01-27,SKU_1,Category_2,28,1694.8144802903494,0,50
2023-01-28,SKU_1,Category_2,57,1694.8144802903494,1,82
2023-01-29,SKU_1,Category_2,31,1694.8144802903494,0,32
2023-01-30,SKU_1,Category_2,25,1694.8144802903494,0,46
2023-01-31,SKU_1,Category_2,30,1694.8144802903494,0,74
2023-02-01,SKU_1,Category_2,27,1694.8144802903494,0,56
2023-02-02,SKU_1,Category_2,23,1694.8144802903494,0,23
2023-02-03,SKU_1,Category_2,18,1694.8144802903494,0,18
2023-02-04,SKU_1,Category_2,33,1694.8144802903494,0,60
2023-02-05,SKU_1,Category_2,28,1694.8144802903494,0,61
2023-02-06,SKU_1,Category_2,22,1694.8144802903494,0,24
2023-02-07,SKU_1,Category_2,28,1694.8144802903494,0,45
2023-02-08,SKU_1,Category_2,37,1694.8144802903494,1,37
2023-02-09,SKU_1,Category_2,43,1694.8144802903494,1,54
2023-02-10,SKU_1,Category_2,25,1694.8144802903494,0,53
2023-02-11,SKU_1,Category_2,29,1694.8144802903494,0,71
2023-02-12,SKU_1,Category_2,30,1694.8144802903494,0,36
2023-02-13,SKU_1,Category_2,24,1694.8144802903494,0,86
2023-02-14,SKU_1,Category_2,18,1694.8144802903494,0,18
2023-02-15,SKU_1,Category_2,24,1694.8144802903494,0,60
2023-02-16,SKU_1,Category_2,22,1694.8144802903494,0,41
2023-02-17,SKU_1,Category_2,23,1694.8144802903494,0,61
2023-02-18,SKU_1,Category_2,33,1694.8144802903494,0,65
2023-02-19,SKU_1,Category_2,11,1694.8144802903494,0,11
2023-02-20,SKU_1,Category_2,11,1694.8144802903494,0,11
2023-02-21,SKU_1,Category_2,27,1694.8144802903494,0,99
2023-02-22,SKU_1,Category_2,42,1694.8144802903494,1,84
2023-02-23,SKU_1,Category_2,20,1694.8144802903494,0,26
2023-02-24,SKU_1,Category_2,33,1694.8144802903494,0,79
2023-02-25,SKU_1,Category_2,25,1694.8144802903494,0,25
2023-02-26,SKU_1,Category_2,12,1694.8144802903494,0,12
